name,id,password,category,influence,branch
User 79,user79,5Py9Fq1Xz7Tn,Sales,72.9,sales
User 80,user80,7Mw6Kn2Lv3Yq,HR,67,human resources
User 81,user81,2Rv3Nf1Yp5Kt,Engineering,83.5,software
User 82,user82,4Fw9Xs5Dp7Mq,Finance,81.4,accounting
User 83,user83,3Vn6Jz2Wp5Qr,Marketing,70.8,marketing
User 84,user84,1Kn7Ly9Xr5Tw,Sales,75.3,sales
User 85,user85,8Vp4Vw2Jq7Fr,HR,66.5,human resources
User 86,user86,9Rs5Km2Zx1Qs,Engineering,79.8,electrical
User 87,user87,7Mt9Lz5Fr2Xp,Marketing,73.2,marketing
User 88,user88,4Yq2Pw9Bv7Ns,Finance,80.3,accounting
User 89,user89,5Qw7Jv1Ls9Zx,Sales,71.2,sales
User 90,user90,3Lp1Jz2Vr7Qb,HR,74.8,human resources
User 91,user91,6Zt5Qs9Wv2Fg,Engineering,78.3,electrical
User 92,user92,8Fw3Kv5Jr2Pn,Finance,76.4,accounting
User 93,user93,7Yj1Wp4Xf3Vb,Marketing,67.3,marketing
User 94,user94,2Nx6Pz9Vw5Jq,Sales,79.1,sales
User 95,user95,1Mw7Lq2Ft9Xt,HR,80,human resources
User 96,user96,6Qz8Nr2Jv3Fm,Engineering,81.5,software
User 97,user97,5Wr3Jt1Nx2Xq,Finance,82.6,accounting
User 98,user98,4Lp6Tx3Zv7Yb,Marketing,72.8,marketing
User 99,user99,3Wz2Qp1Jt6Lb,Sales,76,sales
User 100,user100,8Vr9Xq4Mb2Fy,HR,70.2,human resources
prakhar,user234,prakhar123,Engineering,69,Electrical
